293109.995,9900630.068,150.81,102
292899.999,9900610.071,150.93,103
292740,9900750.072,151.06,104
292610.002,9900930.077,149.24,105
292480.002,9901100.075,152.46,106
292400.005,9901240.071,151.4,107
292350.004,9901450.075,153.06,108
292299.997,9901635.075,151.08,109
292299.999,9901860.076,152.48,110
292310,9902040.077,152.99,111
292299.996,9902230.079,153.4,112
292299.997,9902450.07,153.99,113
292324.995,9902630.079,155.69,114
292380.005,9902840.073,156.78,115
292369.995,9903050.069,155.55,116
292200.005,9903130.068,156.4,117
292080,9903300.076,156.41,118
292039.995,9903500.07,155.24,119
291999.995,9903670.073,158.18,120
291940.001,9903850.077,156.84,121
291910.005,9904050.069,156.93,122
291900.002,9904240.071,154.76,123
291940.003,9904440.071,155.72,124
291970.002,9904620.068,154.61,125
292029.999,9904820.076,158.07,126
292050.005,9905020.069,157.39,127
291949.999,9905210.078,154.94,128
291900.003,9905390.069,153.52,129
291909.996,9905570.07,156.24,130
291920.002,9905760.068,152.65,131
291939.998,9905960.073,152.13,132
291979.996,9906140.078,152.98,133
291999.999,9906320.077,151.53,134
292049.996,9906500.069,146.48,135
292104.998,9906700.077,141.94,136
292139.999,9906880.072,142.31,137
292289.997,9907040.07,139.03,138
292410.001,9907200.074,132.14,139
292590.002,9907250.075,109.24,140
292750.005,9907340.068,99.6700000000001,141
292819.998,9907550.068,92.21,142
292920.002,9907690.07,85.8499999999999,143
292200,9906540.07,147.5,201
292429.995,9906560.069,145.71,202
292619.995,9906620.077,145.66,203
292829.996,9906650.077,113.59,204
293024.996,9906710.071,89.6399999999999,205
293230,9906750.068,97.1100000000001,206
293419.999,9906800.065,104.93,207
293650,9906850.075,101.99,208
293830.001,9906900.073,101.77,209
294039.995,9906950.064,115.87,210
294210.004,9906980.071,137.01,211
294400.002,9907030.065,154.37,212
294620.004,9907070.067,158.15,213
294810.002,9907120.071,158.49,214
295000,9907170.065,160.95,215
295189.999,9907220.069,197.07,216
295390.002,9907250.065,210.08,217
295600.004,9907330.065,220.44,218
295800.004,9907350.063,222.65,219
295970.001,9907420.064,240.48,220
296190.002,9907460.072,255.5,221
296379.998,9907500.065,264.82,222
296570.002,9907570.07,268.9,223
296770.005,9907600.063,292.26,224
296960.004,9907650.063,304.21,225
297140.004,9907700.065,284.76,226
297340.001,9907750.061,274.73,227
297539.998,9907800.067,286.58,228
297750.004,9907850.06,303.88,229
292150,9904630.073,151.88,301
292349.997,9904650.07,151.41,302
292550,9904700.069,151.62,303
292750.001,9904740.071,148.78,304
292969.998,9904780.067,154.54,305
293159.996,9904800.076,172.48,306
293329.998,9904820.066,171.52,307
293539.995,9904850.066,179.62,308
293749.996,9904900.071,180.41,309
293960.003,9904930.07,182.15,310
294150.003,9904960.074,190.53,311
294350.002,9904990.074,190.15,312
294550,9905020.074,181.78,313
294740,9905050.065,151.89,314
